"Core Project Number","ClinicalTrials.gov ID","Study","Study Status",
"M01RR001070","NCT00000102","Congenital Adrenal Hyperplasia: Calcium Channels as Therapeutic Targets","COMPLETED",
"M01RR000032","NCT00000110","Influence of Diet and Endurance Running on Intramuscular Lipids Measured at 4.1 TESLA","COMPLETED",
"M01RR000042","NCT00000111","Intraoral Grafting of Ex Vivo Produced Oral Mucosal Composites","UNKNOWN STATUS",
"U10EY008057","NCT00000134","Studies of the Ocular Complications of AIDS (SOCA)--Cytomegalovirus Retinitis Retreatment Trial (CRRT)","COMPLETED",
"K20DA000238","NCT00000197","Propranolol for Treatment of Cocaine Addiction - 2","COMPLETED",
"K20DA000238","NCT00000198","Piracetam for Treatment of Cocaine Addiction - 3","COMPLETED",
"R01DA008391","NCT00000249","Effects of Subanesthetic Concentrations of Nitrous Oxide - 1","COMPLETED",
"R01DA008391","NCT00000263","Effects of Combined Alcohol and Nitrous Oxide Intake - 15","COMPLETED",
"P50DA009250","NCT00000278","Disulfiram for Cocaine-Alcohol Abuse - 3","COMPLETED",
"P50DA009260","NCT00000303","Rapid Evaluation of Baclofen for Treatment of Cocaine Abuse/Dependence - 6","COMPLETED",
"R01DA011160","NCT00000330","Buprenorphine/Naloxone Treatment for Opioid Dependence-Experiment II-2 - 5","WITHDRAWN",
"R01DC003602","NCT00000359","Treatments for Benign Paroxysmal Positional Vertigo (BPPV)","COMPLETED",
"R01MH045966","NCT00000368","Treatment of Panic Disorder: Long Term Strategies","COMPLETED",
"R01MH053681","NCT00000381","Fluoxetine for Anxious Children","COMPLETED",
"R01AR044064","NCT00000398","Behavioral Treatment of Fibromyalgia","COMPLETED",
"R01AR039559","NCT00000399","Bone Estrogen Strength Training","COMPLETED",
"P50AR044855","NCT00000400","Alendronate and/or Parathyroid Hormone for Osteoporosis","COMPLETED",
"R01AR043348","NCT00000403","Doxycycline and OA Progression","COMPLETED",
"R01AR045655","NCT00000405","Effects of Jumping on Growing Bones","COMPLETED",
"U01AR045444","NCT00000409","Spine Patient Outcomes Research Trial (SPORT): Degenerative Spondylolisthesis With Spinal Stenosis","COMPLETED",
"P60AR020618","NCT00000413","Osteoporosis Prevention in Preadolescent Girls","COMPLETED",
"P60AR020613","NCT00000416","Prevention of Arthritis-Related Work Disability","COMPLETED",
"U01AR042540","NCT00000419","Safety of Estrogens in Lupus: Hormone Replacement Therapy","TERMINATED",
"R01AR044690","NCT00000421","Serologically Active, Clinically Stable Systemic Lupus Erythematosus","COMPLETED",
"R01AR042165","NCT00000424","Tidal Lavage in Knee Osteoarthritis","COMPLETED",
"P01AR043584","NCT00000425","Toward Better Outcomes in Osteoarthritis","COMPLETED",
"P60AR030692","NCT00000434","Impact of Exercise on Older Persons With Osteoarthritis","COMPLETED",
